Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,11.59,$1.32B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,219.52,$130.55B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,17.16,$700.22M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,79.86,$11.7B,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,18.65,$1.72B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,5.15,$112.11M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",5.82,$411.77M,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",11.48,$280.8M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,44.11,$1.53B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",46.6,$3.38B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,23.74,$50.77B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,59.92,$104.64B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,94.65,$150.18B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,24.21,$1.65B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",13.48,$118.85M,1992,n/a,n/a,https://www.nasdaq.com/symbol/gch
ACP,Aberdeen Income Credit Strategies Fund,13.769,$180.02M,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.16,$122.54M,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",13.26,$98.38M,1990,n/a,n/a,https://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,33.48,$2.2B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,24.6,$2.06B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
ACN,Accenture plc,153.5,$103.31B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,12.55,$1.35B,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",19.62,$52.61M,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,23.25,$1.4B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,139.19,$5.87B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,23.09,$1.73B,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",14.77,$1.46B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",18.2103,$519.92M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,7.52,$920.31M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
ADNT,Adient plc,59.76,$5.58B,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADT,ADT Inc.,7.93,$5.94B,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,47.55,$2.87B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,118.55,$8.77B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",22.28,$1.97B,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",25.9,$1.46B,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms
ASX,"Advanced Semiconductor Engineering, Inc.",7.26,$12.3B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/asx
ASIX,AdvanSix Inc.,34.78,$1.06B,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,2.95,$548.59M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aav
AVK,Advent Claymore Convertible Securities and Income Fund,15.08,$302.26M,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,5.6,$153.26M,2007,n/a,n/a,https://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,7.92,$72.72M,2005,n/a,n/a,https://www.nasdaq.com/symbol/lcm
ACM,AECOM,35.63,$5.67B,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,2.25,$91.44M,2006,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw
AEB,Aegon NV,24.95,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AED,Aegon NV,26.22,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed
AEG,Aegon NV,6.77,$14.29B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.84,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,26.51,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,50.72,$7.76B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
HIVE,"Aerohive Networks, Inc.",4.04,$218.89M,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",27.97,$2.1B,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AET,Aetna Inc.,169,$55.25B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet
AMG,"Affiliated Managers Group, Inc.",189.58,$10.33B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
AFL,Aflac Incorporated,43.76,$68.21B,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",17.37,$489.76M,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.38,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.0701,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,64.85,$5.16B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",66.9,$21.57B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,42.07,$9.81B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,48.04,$1.65B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AL,Air Lease Corporation,42.62,$4.42B,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",159.03,$34.82B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,19.86,$1.56B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,4.53,$1.43B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
ALP^Q,Alabama Power Company,25.38,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",109.9,$1.28B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,5.21,$2.03B,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",61.96,$7.65B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
ALB,Albemarle Corporation,92.74,$10.26B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,44.96,$8.37B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
ALEX,"Alexander & Baldwin, Inc.",23.13,$1.66B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",381.23,$1.95B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",124.89,$12.64B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",35.93,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
AQN,Algonquin Power & Utilities Corp.,9.92,$4.3B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
BABA,Alibaba Group Holding Limited,183.54,$470.93B,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,614.44,$9.46B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,23.68,$2.98B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,85.29,$8.12B,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,168.29,$55.13B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
ALE,"Allete, Inc.",72.25,$3.7B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,12.71,$108.73M,2002,n/a,n/a,https://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,212.86,$11.81B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,12.51,$359.6M,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb
AOI,"Alliance One International, Inc.",26.05,$234.68M,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,11.89,$1.03B,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,26.85,$2.59B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,40.86,$9.45B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.22,$168.33M,2017,n/a,n/a,https://www.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,6.72,$597.2M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,5.95,$446.06M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,22.67,$232.93M,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,20.69,$573.3M,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.7,$1.2B,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj
ALSN,"Allison Transmission Holdings, Inc.",39.06,$5.47B,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),94.8,$33.6B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),25.38,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),26.71,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b
ALL^C,Allstate Corporation (The),25.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^c
ALL^D,Allstate Corporation (The),25.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),25.96,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),26.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f
ALLY,Ally Financial Inc.,27.15,$11.77B,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,25.975,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a
AGD,Alpine Global Dynamic Dividend Fund,10.5,$131.77M,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,6.24,$532.95M,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,8.94,$961.88M,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod
AYX,"Alteryx, Inc.",34.14,$2.06B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx
ATUS,"Altice USA, Inc.",18.48,$13.62B,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus
MO,Altria Group,62.32,$118.44B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,13.92,$8.3B,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
AMBR,"Amber Road, Inc.",8.9,$243.16M,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr
ABEV,Ambev S.A.,7.27,$114.22B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",14.05,$1.8B,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc
AEE,Ameren Corporation,56.63,$13.78B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",13,$589.17M,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc
AMOV,"America Movil, S.A.B. de C.V.",19,$62.76B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",19.09,$63.06B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",33.41,$1.58B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
AXL,"American Axle & Manufacturing Holdings, Inc.",15.22,$1.7B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,38.62,$5.28B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",19.93,$3.54B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",68.59,$33.77B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AEL,American Equity Investment Life Holding Company,29.36,$2.64B,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael
AXP,American Express Company,93.28,$80.23B,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp
AFG,"American Financial Group, Inc.",112.22,$9.92B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg
AFGE,"American Financial Group, Inc.",25.8608,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",25.98,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
AMH,American Homes 4 Rent,20.08,$5.76B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh
AMH^C,American Homes 4 Rent,28.2562,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^c
AMH^D,American Homes 4 Rent,25.01,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,24.81,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,23.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,23.15,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g
AIG,"American International Group, Inc.",54.42,$49.11B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws
AMID,"American Midstream Partners, LP",10.8,$569.31M,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid
ARL,"American Realty Investors, Inc.",19.38,$310.59M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",18.85,$612.23M,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara
AWR,American States Water Company,53.06,$1.95B,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),145.34,$64.07B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
AVD,American Vanguard Corporation,20.2,$602.95M,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd
AWK,American Water Works,82.13,$14.66B,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
COLD,Americold Realty Trust,19.08,$2.63B,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold
APU,"AmeriGas Partners, L.P.",39.97,$3.72B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",147.94,$21.61B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),86.21,$18.94B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,4.17,$138.72M,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,56.75,$2.71B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,8.9,$110.02M,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,86.13,$26.31B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
AXR,AMREP Corporation,7.19,$58.23M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr
AME,"AMTEK, Inc.",75.97,$17.59B,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
AFSI^A,"AmTrust Financial Services, Inc.",17.99,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",18.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",18.895,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",18.94,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",20.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",18.18,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",23.52,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",24.2,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,29.8,n/a,2015,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,60.41,$31.13B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc
ANDV,Andeavor,100.56,$15.39B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/andv
ANDX,Andeavor Logistics LP,44.81,$9.73B,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx
AU,AngloGold Ashanti Limited,9.49,$3.87B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,109.94,$212.59B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,75.75,$2.52B,n/a,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,10.43,$12.09B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly
NLY^C,Annaly Capital Management Inc,25.47,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,25.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,25.35,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,24.45,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g
AMGP,Antero Midstream GP LP,15.99,$2.98B,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp
AM,Antero Midstream Partners LP,25.89,$4.84B,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,19.85,$6.28B,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",219.7,$56.18B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
ANTX,"Anthem, Inc.",53.7,$14.23B,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,4.8,$471.41M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,25.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,25.31,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,24.74,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c
AON,Aon plc,140.33,$34.55B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
APA,Apache Corporation,38.48,$14.68B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,40.75,$6.41B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,25.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance,17.98,$1.93B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari
ARI^C,Apollo Commercial Real Estate Finance,25.44,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ari^c
APO,"Apollo Global Management, LLC",29.62,$12.12B,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, LLC",25.0499,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, LLC",24.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b
AIY,Apollo Investment Corporation,25.3399,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,16.83,$262.09M,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,15.7,$227.09M,2013,n/a,n/a,https://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",17.57,$4.04B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",72.9,$2.82B,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",89.83,$5.6B,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr
APTV,Aptiv PLC,84.97,$22.57B,2011,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv
WTR,"Aqua America, Inc.",34.06,$6.05B,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtr
AQ,Aquantia Corp.,15.7,$526.32M,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq
WAAS,AquaVenture Holdings Limited,12.42,$329.15M,2016,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/waas
ARMK,Aramark,39.56,$9.73B,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,8.82,$544.4M,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.5159,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.2501,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,25.8614,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^c
ABRN.CL,Arbor Realty Trust,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abrn.cl
ARC,"ARC Document Solutions, Inc.",2.2,$99.59M,2004,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/arc
MT,ArcelorMittal,31.81,$32.22B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/mt
ARCH,"Arch Coal, Inc.",91.88,$1.91B,2016,Energy,Coal Mining,https://www.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,43.37,$24.24B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",8.75,$627.49M,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/aroc
ARNC,Arconic Inc.,23.04,$11.12B,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/arnc
ARCO,Arcos Dorados Holdings Inc.,9.15,$1.93B,2011,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arco
